,precision,recall,f1-score,support
0,0.7805212620027435,0.763758389261745,0.7720488466757124,745.0
1,0.7687253613666228,0.785234899328859,0.7768924302788844,745.0
accuracy,0.774496644295302,0.774496644295302,0.774496644295302,0.774496644295302
macro avg,0.7746233116846832,0.7744966442953021,0.7744706384772984,1490.0
weighted avg,0.7746233116846831,0.774496644295302,0.7744706384772984,1490.0
