,0,1,accuracy,macro avg,weighted avg
precision,0.5413959651222431,0.6076948737907262,0.5598042545308592,0.5745454194564846,0.5745454194564846
recall,0.7821482602118003,0.3374602488499182,0.5598042545308592,0.5598042545308592,0.5598042545308592
f1-score,0.6398757277629734,0.4339454094292804,0.5598042545308592,0.5369105685961268,0.5369105685961268
support,64778.0,64778.0,0.5598042545308592,129556.0,129556.0
