Column1,0,1,accuracy,macro avg,weighted avg
precision,0.541,0.608,0.560,0.575,0.575
recall,0.782,0.337,0.560,0.560,0.560
f1-score,0.640,0.434,0.560,0.537,0.537
support,64778,64778,0.560,129556,129556
