,0,1,accuracy,macro avg,weighted avg
precision,0.6057761059470886,0.5902783305473746,0.5974146816307834,0.5980272182472316,0.5980272182472317
recall,0.5578905176362804,0.6369388456252864,0.5974146816307834,0.5974146816307834,0.5974146816307834
f1-score,0.5808480512705865,0.6127215390335596,0.5974146816307834,0.596784795152073,0.596784795152073
support,69856.0,69856.0,0.5974146816307834,139712.0,139712.0
