,0,1,accuracy,macro avg,weighted avg
precision,0.5398626123850894,0.6105151116215232,0.5585896607791166,0.5751888620033063,0.575188599727062
recall,0.7935289401003771,0.3236468928650976,0.5585896607791166,0.5585879164827374,0.5585896607791166
f1-score,0.6425668526356291,0.4230343729984667,0.5585896607791166,0.5328006128170479,0.5328014277656326
support,67346.0,67345.0,0.5585896607791166,134691.0,134691.0
