,0,1,accuracy,macro avg,weighted avg
precision,0.5811572323283658,0.5804191661112346,0.5807865135102964,0.5807881992198002,0.5807881992198003
recall,0.5785025592191406,0.5830704678014522,0.5807865135102964,0.5807865135102964,0.5807865135102964
f1-score,0.5798268572579022,0.5817417961298368,0.5807865135102964,0.5807843266938695,0.5807843266938695
support,67208.0,67208.0,0.5807865135102964,134416.0,134416.0
